,col_room_number,col_region,col_area,col_price,col_price_sq_m,col_floor,col_layout,flat_type,city_area,premises_area,floor,floor_tot,layout,status,price
1,1-комн.,"Советский р-н, Шумяцкого, 7",29.70 м 2,3 340 000 руб.,112 458 руб./м2,1 эт. из 9,"Советский р-н, Шумяцкого, 7
Планировка: новая
Готовое",1_room_ap,Sovietskiy,29.7,1,9,new,finished,38837.20930232558
2,3-комн.,"Советский р-н, 60 лет Образования СССР, 20",64.10 м 2,6 500 000 руб.,101 404 руб./м2,2 эт. из 9,"Советский р-н, 60 лет Образования СССР, 20
Планировка: новая
Готовое",3_room_ap,Sovietskiy,64.1,2,9,new,finished,75581.3953488372
3,3-комн.,"Свердловский р-н, Семафорная, 241",58.40 м 2,4 990 000 руб.,85 445 руб./м2,1 эт. из 5,"Свердловский р-н, Семафорная, 241
Планировка: хрущевка
Готовое",3_room_ap,Sverdlovsky,58.4,1,5,khrushchevka,finished,58023.25581395349
4,3-комн.,"Свердловский р-н, Южная набережная, 10",92.30 м 2,12 400 000 руб.,134 345 руб./м2,5 эт. из 6,"Свердловский р-н, Южная набережная, 10
Планировка: новая
Готовое",3_room_ap,Sverdlovsky,92.3,5,6,new,finished,144186.0465116279
5,2-комн.,"Октябрьский р-н, Норильская, 8г",48.00 м 2,4 300 000 руб.,89 583 руб./м2,10 эт. из 17,"Октябрьский р-н, Норильская, 8г
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,48.0,10,17,new,finished,50000.0
6,3-комн.,"Советский р-н, Воронова, 15",65.00 м 2,6 300 000 руб.,96 923 руб./м2,3 эт. из 9,"Советский р-н, Воронова, 15
Планировка: новая
Готовое",3_room_ap,Sovietskiy,65.0,3,9,new,finished,73255.81395348837
7,3-комн.,"Советский р-н, 9 Мая, 8",71.70 м 2,7 600 000 руб.,105 997 руб./м2,9 эт. из 10,"Советский р-н, 9 Мая, 8
Планировка: новая
Готовое",3_room_ap,Sovietskiy,71.7,9,10,new,finished,88372.09302325582
8,2-комн.,"Кировский р-н, Красноярский Рабочий, 108",45.60 м 2,3 990 000 руб.,87 500 руб./м2,3 эт. из 5,"Кировский р-н, Красноярский Рабочий, 108
Планировка: хрущевка
Готовое",2_room_ap,Kirovsky,45.6,3,5,khrushchevka,finished,46395.348837209305
10,1-комн.,"Свердловский р-н, Карамзина, 18",31.90 м 2,4 000 000 руб.,125 392 руб./м2,5 эт. из 10,"Свердловский р-н, Карамзина, 18
Планировка: индивидуальная
Готовое",1_room_ap,Sverdlovsky,31.9,5,10,individual,finished,46511.62790697674
11,1-комн.,"Железнодорожный р-н, Ломоносова, 94к2",25.00 м 2,2 200 000 руб.,88 000 руб./м2,4 эт. из 5,"Железнодорожный р-н, Ломоносова, 94к2
Планировка: студия
Готовое",1_room_ap,Zheleznodorozhniy,25.0,4,5,studio,finished,25581.39534883721
12,3-комн.,"Свердловский р-н, Анатолия Гладкова, 13",59.20 м 2,4 500 000 руб.,76 014 руб./м2,5 эт. из 5,"Свердловский р-н, Анатолия Гладкова, 13
Планировка: улучшенная
Готовое",3_room_ap,Sverdlovsky,59.2,5,5,improved,finished,52325.58139534884
13,Гостин.,"Советский р-н, Устиновича, 24",14.00 м 2,1 450 000 руб.,103 571 руб./м2,3 эт. из 5,"Советский р-н, Устиновича, 24
Планировка: гостинка
Готовое",small_family_ap,Sovietskiy,14.0,3,5,small_family_ap,finished,16860.46511627907
14,Гостин.,"Советский р-н, Воронова, 39",17.20 м 2,1 550 000 руб.,90 116 руб./м2,1 эт. из 5,"Советский р-н, Воронова, 39
Планировка: гостинка
Готовое",small_family_ap,Sovietskiy,17.2,1,5,small_family_ap,finished,18023.25581395349
15,1-комн.,"Советский р-н, 60 лет Образования СССР, 62",43.30 м 2,3 400 000 руб.,78 522 руб./м2,1 эт. из 17,"Советский р-н, 60 лет Образования СССР, 62
Планировка: новая
Готовое",1_room_ap,Sovietskiy,43.3,1,17,new,finished,39534.88372093023
16,2-комн.,"Октябрьский р-н, Михаила Годенко, 1",51.70 м 2,5 700 000 руб.,110 251 руб./м2,5 эт. из 16,"Октябрьский р-н, Михаила Годенко, 1
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,51.7,5,16,new,finished,66279.06976744186
17,1-комн.,"Кировский р-н, имени газеты Пионерская Правда, 4",35.40 м 2,3 200 000 руб.,90 395 руб./м2,4 эт. из 5,"Кировский р-н, имени газеты Пионерская Правда, 4
Планировка: ленинградка
Готовое",1_room_ap,Kirovsky,35.4,4,5,leningradka,finished,37209.3023255814
18,3-комн.,"Советский р-н, Комарова, 3",63.10 м 2,6 200 000 руб.,98 257 руб./м2,3 эт. из 5,"Советский р-н, Комарова, 3
Планировка: улучшенная
Готовое",3_room_ap,Sovietskiy,63.1,3,5,improved,finished,72093.02325581395
19,1-комн.,"Центральный р-н, Березина, 82",31.74 м 2,3 890 000 руб.,122 558 руб./м2,15 эт. из 25,"Центральный р-н, Березина, 82
Планировка: новая
Готовое",1_room_ap,Central,31.74,15,25,new,finished,45232.558139534885
20,3-комн.,"Ленинский р-н, Крайняя, 2",68.00 м 2,7 000 000 руб.,102 941 руб./м2,9 эт. из 10,"Ленинский р-н, Крайняя, 2
Планировка: новая
Готовое",3_room_ap,Leninsky,68.0,9,10,new,finished,81395.3488372093
21,4-комн.,"Октябрьский р-н, Гусарова, 69",66.00 м 2,6 100 000 руб.,92 424 руб./м2,1 эт. из 5,"Октябрьский р-н, Гусарова, 69
Планировка: улучшенная
Готовое",4_room_ap,Oktyabrskiy,66.0,1,5,improved,finished,70930.23255813954
22,3-комн.,"Октябрьский р-н, Гусарова, 20",62.50 м 2,6 200 000 руб.,99 200 руб./м2,2 эт. из 5,"Октябрьский р-н, Гусарова, 20
Планировка: ленинградка
Готовое",3_room_ap,Oktyabrskiy,62.5,2,5,leningradka,finished,72093.02325581395
23,1-комн.,"Свердловский р-н, Карамзина, 16",25.40 м 2,3 140 000 руб.,123 622 руб./м2,9 эт. из 17,"Свердловский р-н, Карамзина, 16
Планировка: студия
Готовое",1_room_ap,Sverdlovsky,25.4,9,17,studio,finished,36511.62790697674
24,1-комн.,"Свердловский р-н, Судостроительная, 155",28.80 м 2,3 700 000 руб.,128 472 руб./м2,20 эт. из 25,"Свердловский р-н, Судостроительная, 155
Планировка: студия
Готовое",1_room_ap,Sverdlovsky,28.8,20,25,studio,finished,43023.25581395349
25,3-комн.,"Ленинский р-н, Крайняя, 2",68.00 м 2,7 500 000 руб.,110 294 руб./м2,9 эт. из 10,"Ленинский р-н, Крайняя, 2
Планировка: новая
Готовое",3_room_ap,Leninsky,68.0,9,10,new,finished,87209.30232558139
27,2-комн.,"Железнодорожный р-н, Калинина, 15",60.00 м 2,6 100 000 руб.,101 667 руб./м2,16 эт. из 16,"Железнодорожный р-н, Калинина, 15
Планировка: новая
Готовое",2_room_ap,Zheleznodorozhniy,60.0,16,16,new,finished,70930.23255813954
28,2-комн.,"Железнодорожный р-н, Калинина, 31б",54.00 м 2,5 000 000 руб.,92 593 руб./м2,14 эт. из 17,"Железнодорожный р-н, Калинина, 31б
Планировка: новая
Готовое",2_room_ap,Zheleznodorozhniy,54.0,14,17,new,finished,58139.53488372093
29,1-комн.,"Кировский р-н, Кутузова, 74",34.20 м 2,3 500 000 руб.,102 339 руб./м2,5 эт. из 5,"Кировский р-н, Кутузова, 74
Планировка: ленинградка
Готовое",1_room_ap,Kirovsky,34.2,5,5,leningradka,finished,40697.67441860465
30,1-комн.,"Советский р-н, Металлургов, 28г",37.60 м 2,3 600 000 руб.,95 745 руб./м2,6 эт. из 9,"Советский р-н, Металлургов, 28г
Планировка: новая
Готовое",1_room_ap,Sovietskiy,37.6,6,9,new,finished,41860.46511627907
31,2-комн.,"Советский р-н, Сергея Лазо, 28",53.10 м 2,5 700 000 руб.,107 345 руб./м2,7 эт. из 9,"Советский р-н, Сергея Лазо, 28
Планировка: новая
Готовое",2_room_ap,Sovietskiy,53.1,7,9,new,finished,66279.06976744186
32,3-комн.,"Железнодорожный р-н, Калинина, 68а",95.30 м 2,5 500 000 руб.,57 712 руб./м2,2 эт. из 2,"Железнодорожный р-н, Калинина, 68а
Планировка: сталинка
Готовое",3_room_ap,Zheleznodorozhniy,95.3,2,2,stalinka,finished,63953.48837209302
33,1-комн.,"Октябрьский р-н, Калинина, 185",39.60 м 2,4 000 000 руб.,101 010 руб./м2,11 эт. из 16,"Октябрьский р-н, Калинина, 185
Планировка: новая
Готовое",1_room_ap,Oktyabrskiy,39.6,11,16,new,finished,46511.62790697674
34,1-комн.,"Свердловский р-н, Карамзина, 28",36.00 м 2,4 000 000 руб.,111 111 руб./м2,1 эт. из 10,"Свердловский р-н, Карамзина, 28
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,36.0,1,10,new,finished,46511.62790697674
35,1-комн.,"Кировский р-н, Грунтовая, 28а",36.10 м 2,3 780 000 руб.,104 709 руб./м2,9 эт. из 10,"Кировский р-н, Грунтовая, 28а
Планировка: новая
Готовое",1_room_ap,Kirovsky,36.1,9,10,new,finished,43953.48837209302
36,3-комн.,"Свердловский р-н, Лесников, 41",64.50 м 2,6 611 000 руб.,102 496 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",3_room_ap,Sverdlovsky,64.5,4,15,new,finished,76872.09302325582
37,2-комн.,"Свердловский р-н, Лесников, 41",49.40 м 2,5 557 000 руб.,112 490 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,49.4,4,15,new,finished,64616.27906976744
38,2-комн.,"Свердловский р-н, Лесников, 41",55.00 м 2,5 896 000 руб.,107 200 руб./м2,15 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,55.0,15,15,new,finished,68558.13953488372
39,2-комн.,"Свердловский р-н, Лесников, 41",60.90 м 2,6 284 000 руб.,103 186 руб./м2,13 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,60.9,13,15,new,finished,73069.76744186046
40,1-комн.,"Советский р-н, Водопьянова, 4",40.80 м 2,4 200 000 руб.,102 941 руб./м2,8 эт. из 10,"Советский р-н, Водопьянова, 4
Планировка: новая
Готовое",1_room_ap,Sovietskiy,40.8,8,10,new,finished,48837.20930232558
41,1-комн.,"Кировский р-н, Маяковского, 4",42.00 м 2,4 100 000 руб.,97 619 руб./м2,2 эт. из 5,"Кировский р-н, Маяковского, 4
Планировка: новая
Готовое",1_room_ap,Kirovsky,42.0,2,5,new,finished,47674.41860465116
42,1-комн.,"Кировский р-н, Апрельская, 1а",45.00 м 2,4 200 000 руб.,93 333 руб./м2,1 эт. из 14,"Кировский р-н, Апрельская, 1а
Планировка: индивидуальная
Готовое",1_room_ap,Kirovsky,45.0,1,14,individual,finished,48837.20930232558
43,2-комн.,"Советский р-н, Петрушина, 1",52.20 м 2,4 400 000 руб.,84 291 руб./м2,3 эт. из 9,"Советский р-н, Петрушина, 1
Планировка: новая
Готовое",2_room_ap,Sovietskiy,52.2,3,9,new,finished,51162.79069767442
44,2-комн.,"Советский р-н, Воронова, 21",53.60 м 2,5 570 000 руб.,103 918 руб./м2,7 эт. из 9,"Советский р-н, Воронова, 21
Планировка: новая
Готовое",2_room_ap,Sovietskiy,53.6,7,9,new,finished,64767.441860465115
45,2-комн.,"Советский р-н, Воронова, 15",53.60 м 2,5 450 000 руб.,101 679 руб./м2,5 эт. из 9,"Советский р-н, Воронова, 15
Планировка: новая
Готовое",2_room_ap,Sovietskiy,53.6,5,9,new,finished,63372.09302325582
46,2-комн.,"Свердловский р-н, Лесников, 41",49.40 м 2,5 458 000 руб.,110 486 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,49.4,4,15,new,finished,63465.11627906977
47,1-комн.,"Советский р-н, 9 Мая, 83к1",41.20 м 2,4 800 000 руб.,116 505 руб./м2,22 эт. из 25,"Советский р-н, 9 Мая, 83к1
Планировка: новая
Готовое",1_room_ap,Sovietskiy,41.2,22,25,new,finished,55813.95348837209
48,1-комн.,"Свердловский р-н, Судостроительная, 74",34.30 м 2,3 340 000 руб.,97 376 руб./м2,4 эт. из 5,"Свердловский р-н, Судостроительная, 74
Планировка: ленинградка
Готовое",1_room_ap,Sverdlovsky,34.3,4,5,leningradka,finished,38837.20930232558
49,3-комн.,"Железнодорожный р-н, Льва Толстого, 19",99.80 м 2,14 200 000 руб.,142 285 руб./м2,11 эт. из 16,"Железнодорожный р-н, Льва Толстого, 19
Планировка: новая
Готовое",3_room_ap,Zheleznodorozhniy,99.8,11,16,new,finished,165116.27906976745
50,3-комн.,"Октябрьский р-н, Тотмина, 21а",56.90 м 2,4 600 000 руб.,80 844 руб./м2,6 эт. из 12,"Октябрьский р-н, Тотмина, 21а
Планировка: улучшенная
Готовое",3_room_ap,Oktyabrskiy,56.9,6,12,improved,finished,53488.37209302326
51,2-комн.,"Железнодорожный р-н, Пушкина, 32",66.20 м 2,8 000 000 руб.,120 846 руб./м2,12 эт. из 25,"Железнодорожный р-н, Пушкина, 32
Планировка: новая
Готовое",2_room_ap,Zheleznodorozhniy,66.2,12,25,new,finished,93023.25581395348
52,Гостин.,"Ленинский р-н, 52-й квартал, 1",18.70 м 2,2 000 000 руб.,106 952 руб./м2,3 эт. из 5,"Ленинский р-н, 52-й квартал, 1
Планировка: гостинка
Готовое",small_family_ap,Leninsky,18.7,3,5,small_family_ap,finished,23255.81395348837
53,2-комн.,"Свердловский р-н, Побежимова, 17",48.50 м 2,5 500 000 руб.,113 402 руб./м2,3 эт. из 5,"Свердловский р-н, Побежимова, 17
Планировка: улучшенная
Готовое",2_room_ap,Sverdlovsky,48.5,3,5,improved,finished,63953.48837209302
54,1-комн.,"Советский р-н, Металлургов, 39",31.40 м 2,3 350 000 руб.,106 688 руб./м2,5 эт. из 5,"Советский р-н, Металлургов, 39
Планировка: хрущевка
Готовое",1_room_ap,Sovietskiy,31.4,5,5,khrushchevka,finished,38953.48837209302
56,2-комн.,"Свердловский р-н, Ярыгинская набережная, 5",42.90 м 2,5 000 000 руб.,116 550 руб./м2,15 эт. из 25,"Свердловский р-н, Ярыгинская набережная, 5
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,42.9,15,25,new,finished,58139.53488372093
57,2-комн.,"Свердловский р-н, Лесников, 41",35.70 м 2,4 391 000 руб.,122 997 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,35.7,4,15,new,finished,51058.13953488372
58,2-комн.,"Свердловский р-н, Лесников, 41",42.80 м 2,4 986 000 руб.,116 495 руб./м2,5 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,42.8,5,15,new,finished,57976.74418604651
59,1-комн.,"Свердловский р-н, Лесников, 41",38.50 м 2,4 646 000 руб.,120 675 руб./м2,11 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,38.5,11,15,new,finished,54023.25581395349
60,2-комн.,"Свердловский р-н, Лесников, 41",41.10 м 2,4 837 000 руб.,117 689 руб./м2,11 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,41.1,11,15,new,finished,56244.186046511626
61,1-комн.,"Свердловский р-н, Лесников, 41",35.90 м 2,4 379 000 руб.,121 978 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,35.9,4,15,new,finished,50918.604651162794
62,1-комн.,"Свердловский р-н, Лесников, 41",32.10 м 2,4 044 000 руб.,125 981 руб./м2,4 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,32.1,4,15,new,finished,47023.25581395349
63,1-комн.,"Свердловский р-н, Карамзина, 21",38.00 м 2,4 300 000 руб.,113 158 руб./м2,13 эт. из 16,"Свердловский р-н, Карамзина, 21
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,38.0,13,16,new,finished,50000.0
64,1-комн.,"Советский р-н, Водопьянова, 2",41.50 м 2,4 400 000 руб.,106 024 руб./м2,5 эт. из 10,"Советский р-н, Водопьянова, 2
Планировка: новая
Готовое",1_room_ap,Sovietskiy,41.5,5,10,new,finished,51162.79069767442
65,1-комн.,"Октябрьский р-н, Михаила Годенко, 4",48.00 м 2,5 000 000 руб.,104 167 руб./м2,10 эт. из 19,"Октябрьский р-н, Михаила Годенко, 4
Планировка: новая
Готовое",1_room_ap,Oktyabrskiy,48.0,10,19,new,finished,58139.53488372093
66,3-комн.,"Советский р-н, Батурина, 9",138.00 м 2,19 900 000 руб.,144 203 руб./м2,12 эт. из 14,"Советский р-н, Батурина, 9
Планировка: новая
Готовое",3_room_ap,Sovietskiy,138.0,12,14,new,finished,231395.3488372093
67,1-комн.,"Октябрьский р-н, Лесопарковая, 25",24.70 м 2,3 700 000 руб.,149 798 руб./м2,9 эт. из 17,"Октябрьский р-н, Лесопарковая, 25
Планировка: студия
Готовое",1_room_ap,Oktyabrskiy,24.7,9,17,studio,finished,43023.25581395349
68,2-комн.,"Свердловский р-н, Королёва, 8",44.70 м 2,3 250 000 руб.,72 707 руб./м2,5 эт. из 5,"Свердловский р-н, Королёва, 8
Планировка: улучшенная
Готовое",2_room_ap,Sverdlovsky,44.7,5,5,improved,finished,37790.6976744186
69,1-комн.,"Советский р-н, 78 Добровольческой Бригады, 19",40.80 м 2,5 100 000 руб.,125 000 руб./м2,3 эт. из 10,"Советский р-н, 78 Добровольческой Бригады, 19
Планировка: новая
Готовое",1_room_ap,Sovietskiy,40.8,3,10,new,finished,59302.32558139535
70,3-комн.,"Железнодорожный р-н, Историческая, 90",58.50 м 2,5 200 000 руб.,88 889 руб./м2,5 эт. из 5,"Железнодорожный р-н, Историческая, 90
Планировка: улучшенная
Готовое",3_room_ap,Zheleznodorozhniy,58.5,5,5,improved,finished,60465.11627906977
71,1-комн.,"Свердловский р-н, Карамзина, 13",42.00 м 2,4 600 000 руб.,109 524 руб./м2,3 эт. из 10,"Свердловский р-н, Карамзина, 13
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,42.0,3,10,new,finished,53488.37209302326
72,2-комн.,"Советский р-н, 78 Добровольческой Бригады, 26",62.20 м 2,8 800 000 руб.,141 479 руб./м2,5 эт. из 10,"Советский р-н, 78 Добровольческой Бригады, 26
Планировка: новая
Готовое",2_room_ap,Sovietskiy,62.2,5,10,new,finished,102325.58139534884
73,3-комн.,"Советский р-н, Авиаторов, 33",119.00 м 2,14 875 000 руб.,125 000 руб./м2,7 эт. из 9,"Советский р-н, Авиаторов, 33
Планировка: новая
Готовое",3_room_ap,Sovietskiy,119.0,7,9,new,finished,172965.11627906977
75,1-комн.,"Свердловский р-н, Лесников, 41",23.60 м 2,3 320 000 руб.,140 678 руб./м2,13 эт. из 15,"Свердловский р-н, Лесников, 41
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,23.6,13,15,new,finished,38604.651162790695
76,2-комн.,"Свердловский р-н, Лесников, 31",45.80 м 2,5 230 000 руб.,114 192 руб./м2,14 эт. из 17,"Свердловский р-н, Лесников, 31
Планировка: новая
Готовое",2_room_ap,Sverdlovsky,45.8,14,17,new,finished,60813.95348837209
77,1-комн.,"Свердловский р-н, Побежимова, 17",35.00 м 2,3 500 000 руб.,100 000 руб./м2,3 эт. из 5,"Свердловский р-н, Побежимова, 17
Планировка: улучшенная
Готовое",1_room_ap,Sverdlovsky,35.0,3,5,improved,finished,40697.67441860465
78,1-комн.,"Советский р-н, Енисейская, 9",28.10 м 2,2 750 000 руб.,97 865 руб./м2,10 эт. из 18,"Советский р-н, Енисейская, 9
Планировка: новая
Строится",1_room_ap,Sovietskiy,28.1,10,18,new,under_construction,31976.74418604651
79,1-комн.,"Советский р-н, 3 Августа, 22",41.00 м 2,4 500 000 руб.,109 756 руб./м2,10 эт. из 10,"Советский р-н, 3 Августа, 22
Планировка: новая
Готовое",1_room_ap,Sovietskiy,41.0,10,10,new,finished,52325.58139534884
80,3-комн.,"Советский р-н, 40 лет Победы, 12",61.90 м 2,6 050 000 руб.,97 738 руб./м2,7 эт. из 9,"Советский р-н, 40 лет Победы, 12
Планировка: новая
Готовое",3_room_ap,Sovietskiy,61.9,7,9,new,finished,70348.83720930232
81,1-комн.,"Советский р-н, Взлетная, 7ж",37.00 м 2,5 200 000 руб.,140 541 руб./м2,6 эт. из 24,"Советский р-н, Взлетная, 7ж
Планировка: студия
Готовое",1_room_ap,Sovietskiy,37.0,6,24,studio,finished,60465.11627906977
82,1-комн.,"Свердловский р-н, Александра Матросова, 34",37.80 м 2,3 800 000 руб.,100 529 руб./м2,4 эт. из 20,"Свердловский р-н, Александра Матросова, 34
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,37.8,4,20,new,finished,44186.04651162791
83,1-комн.,"Кировский р-н, Красноярский Рабочий, 104",44.70 м 2,3 500 000 руб.,78 300 руб./м2,3 эт. из 5,"Кировский р-н, Красноярский Рабочий, 104
Планировка: сталинка
Готовое",1_room_ap,Kirovsky,44.7,3,5,stalinka,finished,40697.67441860465
84,1-комн.,"Свердловский р-н, Карамзина, 6",24.70 м 2,3 450 000 руб.,139 676 руб./м2,18 эт. из 18,"Свердловский р-н, Карамзина, 6
Планировка: студия
Готовое",1_room_ap,Sverdlovsky,24.7,18,18,studio,finished,40116.27906976744
85,4-комн.,"Ленинский р-н, Свободная, 5б",82.20 м 2,5 200 000 руб.,63 260 руб./м2,8 эт. из 10,"Ленинский р-н, Свободная, 5б
Планировка: новая
Готовое",4_room_ap,Leninsky,82.2,8,10,new,finished,60465.11627906977
86,1-комн.,"Свердловский р-н, Судостроительная, 157",38.00 м 2,4 150 000 руб.,109 211 руб./м2,2 эт. из 25,"Свердловский р-н, Судостроительная, 157
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,38.0,2,25,new,finished,48255.813953488374
87,1-комн.,"Свердловский р-н, Судостроительная, 25а",35.20 м 2,3 500 000 руб.,99 432 руб./м2,9 эт. из 17,"Свердловский р-н, Судостроительная, 25а
Планировка: студия
Готовое",1_room_ap,Sverdlovsky,35.2,9,17,studio,finished,40697.67441860465
88,4-комн.,"Ленинский р-н, Борисевича, 21",84.40 м 2,5 200 000 руб.,61 611 руб./м2,10 эт. из 10,"Ленинский р-н, Борисевича, 21
Планировка: новая
Готовое",4_room_ap,Leninsky,84.4,10,10,new,finished,60465.11627906977
89,2-комн.,"Железнодорожный р-н, Льва Толстого, 21",66.00 м 2,7 800 000 руб.,118 182 руб./м2,2 эт. из 16,"Железнодорожный р-н, Льва Толстого, 21
Планировка: новая
Готовое",2_room_ap,Zheleznodorozhniy,66.0,2,16,new,finished,90697.67441860466
90,3-комн.,"Центральный р-н, Ленина, 133",81.00 м 2,9 000 000 руб.,111 111 руб./м2,1 эт. из 4,"Центральный р-н, Ленина, 133
Планировка: сталинка
Готовое",3_room_ap,Central,81.0,1,4,stalinka,finished,104651.16279069768
91,4-комн.,"Кировский р-н, Алёши Тимошенкова, 131",82.10 м 2,5 700 000 руб.,69 428 руб./м2,3 эт. из 10,"Кировский р-н, Алёши Тимошенкова, 131
Планировка: новая
Готовое",4_room_ap,Kirovsky,82.1,3,10,new,finished,66279.06976744186
92,Комнат.,"Свердловский р-н, Краснопресненская, 13",20.90 м 2,1 000 000 руб.,47 847 руб./м2,2 эт. из 2,"Свердловский р-н, Краснопресненская, 13
Планировка: комната в общежитии
Готовое",room,Sverdlovsky,20.9,2,2,dorm_room,finished,11627.906976744185
94,2-комн.,"Свердловский р-н, Анатолия Гладкова, 16",37.60 м 2,3 600 000 руб.,95 745 руб./м2,6 эт. из 10,"Свердловский р-н, Анатолия Гладкова, 16
Планировка: улучшенная
Готовое",2_room_ap,Sverdlovsky,37.6,6,10,improved,finished,41860.46511627907
95,1-комн.,"Ленинский р-н, Измайлова, 5",30.60 м 2,2 900 000 руб.,94 771 руб./м2,3 эт. из 5,"Ленинский р-н, Измайлова, 5
Планировка: хрущевка
Готовое",1_room_ap,Leninsky,30.6,3,5,khrushchevka,finished,33720.93023255814
96,2-комн.,"Центральный р-н, Абытаевская, 4а",53.00 м 2,6 700 000 руб.,126 415 руб./м2,7 эт. из 10,"Центральный р-н, Абытаевская, 4а
Планировка: новая
Готовое",2_room_ap,Central,53.0,7,10,new,finished,77906.97674418605
97,1-комн.,"Советский р-н, 9 Мая, 63",32.60 м 2,4 100 000 руб.,125 767 руб./м2,9 эт. из 10,"Советский р-н, 9 Мая, 63
Планировка: индивидуальная
Готовое",1_room_ap,Sovietskiy,32.6,9,10,individual,finished,47674.41860465116
99,1-комн.,"Советский р-н, Взлетная, 7ж",37.00 м 2,5 400 000 руб.,145 946 руб./м2,16 эт. из 24,"Советский р-н, Взлетная, 7ж
Планировка: студия
Готовое",1_room_ap,Sovietskiy,37.0,16,24,studio,finished,62790.6976744186
100,1-комн.,"Советский р-н, Взлетная, 7ж",37.00 м 2,5 100 000 руб.,137 838 руб./м2,23 эт. из 24,"Советский р-н, Взлетная, 7ж
Планировка: студия
Готовое",1_room_ap,Sovietskiy,37.0,23,24,studio,finished,59302.32558139535
101,2-комн.,"Кировский р-н, Красноярский Рабочий, 124",50.00 м 2,4 500 000 руб.,90 000 руб./м2,8 эт. из 12,"Кировский р-н, Красноярский Рабочий, 124
Планировка: улучшенная
Готовое",2_room_ap,Kirovsky,50.0,8,12,improved,finished,52325.58139534884
104,2-комн.,"Октябрьский р-н, Лесопарковая, 9",62.00 м 2,5 900 000 руб.,95 161 руб./м2,5 эт. из 17,"Октябрьский р-н, Лесопарковая, 9
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,62.0,5,17,new,finished,68604.6511627907
105,3-комн.,"Октябрьский р-н, Гусарова, 30",64.00 м 2,7 500 000 руб.,117 188 руб./м2,2 эт. из 9,"Октябрьский р-н, Гусарова, 30
Планировка: новая
Готовое",3_room_ap,Oktyabrskiy,64.0,2,9,new,finished,87209.30232558139
106,1-комн.,"Кировский р-н, Западная, 7а",30.40 м 2,2 850 000 руб.,93 750 руб./м2,1 эт. из 5,"Кировский р-н, Западная, 7а
Планировка: хрущевка
Готовое",1_room_ap,Kirovsky,30.4,1,5,khrushchevka,finished,33139.53488372093
107,3-комн.,"Советский р-н, Николаева, 9",59.80 м 2,5 400 000 руб.,90 301 руб./м2,7 эт. из 9,"Советский р-н, Николаева, 9
Планировка: улучшенная
Готовое",3_room_ap,Sovietskiy,59.8,7,9,improved,finished,62790.6976744186
108,3-комн.,"Ленинский р-н, 2-я Краснофлотская, 1",79.00 м 2,4 900 000 руб.,62 025 руб./м2,9 эт. из 9,"Ленинский р-н, 2-я Краснофлотская, 1
Планировка: новая
Готовое",3_room_ap,Leninsky,79.0,9,9,new,finished,56976.74418604651
109,2-комн.,"Советский р-н, Алексеева, 93",66.90 м 2,9 200 000 руб.,137 519 руб./м2,6 эт. из 11,"Советский р-н, Алексеева, 93
Планировка: новая
Готовое",2_room_ap,Sovietskiy,66.9,6,11,new,finished,106976.74418604652
110,3-комн.,"Центральный р-н, Березина, 82д",120.18 м 2,11 657 460 руб.,97 000 руб./м2,3 эт. из 9,"Центральный р-н, Березина, 82д
Планировка: новая
Готовое",3_room_ap,Central,120.18,3,9,new,finished,135551.86046511628
111,4-комн.,"Центральный р-н, Березина, 82д",136.23 м 2,12 941 850 руб.,95 000 руб./м2,3 эт. из 9,"Центральный р-н, Березина, 82д
Планировка: новая
Готовое",4_room_ap,Central,136.23,3,9,new,finished,150486.62790697673
