,col_room_number,col_region,col_area,col_price,col_price_sq_m,col_floor,col_layout,flat_type,city_area,premises_area,floor,floor_tot,layout,status,price
1871,1-комн.,"Кировский р-н, Кутузова, 1",41.60 м 2,3 744 000 руб.,90 000 руб./м2,11 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",1_room_ap,Kirovsky,41.6,11,19,studio,under_construction,43534.88372093023
1872,4-комн.,"Советский р-н, Металлургов, 30",77.90 м 2,7 000 000 руб.,89 859 руб./м2,1 эт. из 9,"Советский р-н, Металлургов, 30
Планировка: новая
Готовое",4_room_ap,Sovietskiy,77.9,1,9,new,finished,81395.3488372093
1873,1-комн.,"Октябрьский р-н, Вильского, 34",21.30 м 2,2 800 000 руб.,131 455 руб./м2,13 эт. из 16,"Октябрьский р-н, Вильского, 34
Планировка: студия
Готовое",1_room_ap,Oktyabrskiy,21.3,13,16,studio,finished,32558.13953488372
1874,2-комн.,"Октябрьский р-н, Сады, 2и",61.70 м 2,6 500 000 руб.,105 348 руб./м2,3 эт. из 16,"Октябрьский р-н, Сады, 2и
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,61.7,3,16,new,finished,75581.3953488372
1875,1-комн.,"Свердловский р-н, Карамзина, 28",32.00 м 2,3 550 000 руб.,110 938 руб./м2,4 эт. из 9,"Свердловский р-н, Карамзина, 28
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,32.0,4,9,new,finished,41279.06976744186
1876,1-комн.,"Центральный р-н, Линейная, 122",37.00 м 2,4 800 000 руб.,129 730 руб./м2,20 эт. из 21,"Центральный р-н, Линейная, 122
Планировка: студия
Готовое",1_room_ap,Central,37.0,20,21,studio,finished,55813.95348837209
1878,2-комн.,"Советский р-н, 40 лет Победы, 33",52.00 м 2,4 700 000 руб.,90 385 руб./м2,14 эт. из 14,"Советский р-н, 40 лет Победы, 33
Планировка: новая
Готовое",2_room_ap,Sovietskiy,52.0,14,14,new,finished,54651.16279069767
1879,2-комн.,"Советский р-н, 40 лет Победы, 33",52.00 м 2,4 600 000 руб.,88 462 руб./м2,14 эт. из 14,"Советский р-н, 40 лет Победы, 33
Планировка: новая
Готовое",2_room_ap,Sovietskiy,52.0,14,14,new,finished,53488.37209302326
1880,1-комн.,"Советский р-н, Авиаторов, 42",52.00 м 2,5 500 000 руб.,105 769 руб./м2,14 эт. из 18,"Советский р-н, Авиаторов, 42
Планировка: индивидуальная
Готовое",1_room_ap,Sovietskiy,52.0,14,18,individual,finished,63953.48837209302
1881,2-комн.,"Кировский р-н, Кутузова, 1",38.30 м 2,3 619 000 руб.,94 491 руб./м2,10 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: новая
Строится",2_room_ap,Kirovsky,38.3,10,19,new,under_construction,42081.395348837206
1882,2-комн.,"Кировский р-н, Кутузова, 1",40.50 м 2,3 755 000 руб.,92 716 руб./м2,3 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: новая
Строится",2_room_ap,Kirovsky,40.5,3,19,new,under_construction,43662.79069767442
1883,1-комн.,"Кировский р-н, Кутузова, 1",37.10 м 2,3 483 000 руб.,93 881 руб./м2,10 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: новая
Строится",1_room_ap,Kirovsky,37.1,10,19,new,under_construction,40500.0
1885,1-комн.,"Кировский р-н, Кутузова, 1",42.00 м 2,3 780 000 руб.,90 000 руб./м2,5 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: новая
Строится",1_room_ap,Kirovsky,42.0,5,19,new,under_construction,43953.48837209302
1886,1-комн.,"Кировский р-н, Кутузова, 1",41.00 м 2,3 690 000 руб.,90 000 руб./м2,10 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",1_room_ap,Kirovsky,41.0,10,19,studio,under_construction,42906.976744186046
1887,2-комн.,"Кировский р-н, Кутузова, 1",38.30 м 2,3 619 000 руб.,94 491 руб./м2,11 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",2_room_ap,Kirovsky,38.3,11,19,studio,under_construction,42081.395348837206
1888,1-комн.,"Кировский р-н, Кутузова, 1",41.10 м 2,3 699 000 руб.,90 000 руб./м2,6 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",1_room_ap,Kirovsky,41.1,6,19,studio,under_construction,43011.62790697674
1889,1-комн.,"Кировский р-н, Кутузова, 1",37.10 м 2,3 339 000 руб.,90 000 руб./м2,11 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",1_room_ap,Kirovsky,37.1,11,19,studio,under_construction,38825.58139534884
1890,1-комн.,"Кировский р-н, Кутузова, 1",38.60 м 2,3 483 000 руб.,90 233 руб./м2,3 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",1_room_ap,Kirovsky,38.6,3,19,studio,under_construction,40500.0
1891,2-комн.,"Кировский р-н, Кутузова, 1",41.40 м 2,3 829 000 руб.,92 488 руб./м2,13 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: студия
Строится",2_room_ap,Kirovsky,41.4,13,19,studio,under_construction,44523.25581395349
1892,1-комн.,"Кировский р-н, Кутузова, 1",38.60 м 2,3 474 000 руб.,90 000 руб./м2,6 эт. из 19,"Кировский р-н, Кутузова, 1
Планировка: новая
Строится",1_room_ap,Kirovsky,38.6,6,19,new,under_construction,40395.348837209305
1893,1-комн.,"Советский р-н, Шахтеров, 12",30.10 м 2,2 750 000 руб.,91 362 руб./м2,5 эт. из 5,"Советский р-н, Шахтеров, 12
Планировка: хрущевка
Готовое",1_room_ap,Sovietskiy,30.1,5,5,khrushchevka,finished,31976.74418604651
1895,1-комн.,"Ленинский р-н, Машиностроителей, 35",20.60 м 2,2 200 000 руб.,106 796 руб./м2,19 эт. из 19,"Ленинский р-н, Машиностроителей, 35
Планировка: студия
Готовое",1_room_ap,Leninsky,20.6,19,19,studio,finished,25581.39534883721
1896,4-комн.,"Советский р-н, Алексеева, 22",95.70 м 2,10 750 000 руб.,112 330 руб./м2,3 эт. из 10,"Советский р-н, Алексеева, 22
Планировка: новая
Готовое",4_room_ap,Sovietskiy,95.7,3,10,new,finished,125000.0
1897,2-комн.,"Железнодорожный р-н, Мира, 105",42.80 м 2,5 280 000 руб.,123 364 руб./м2,4 эт. из 4,"Железнодорожный р-н, Мира, 105
Планировка: сталинка
Готовое",2_room_ap,Zheleznodorozhniy,42.8,4,4,stalinka,finished,61395.348837209305
1898,3-комн.,"Свердловский р-н, Семафорная, 243а",62.50 м 2,5 700 000 руб.,91 200 руб./м2,3 эт. из 5,"Свердловский р-н, Семафорная, 243а
Планировка: улучшенная
Готовое",3_room_ap,Sverdlovsky,62.5,3,5,improved,finished,66279.06976744186
1899,3-комн.,"Свердловский р-н, Семафорная, 241",58.50 м 2,5 400 000 руб.,92 308 руб./м2,1 эт. из 5,"Свердловский р-н, Семафорная, 241
Планировка: хрущевка
Готовое",3_room_ap,Sverdlovsky,58.5,1,5,khrushchevka,finished,62790.6976744186
1900,3-комн.,"Свердловский р-н, Свердловская, 6и",77.90 м 2,6 950 000 руб.,89 217 руб./м2,2 эт. из 19,"Свердловский р-н, Свердловская, 6и
Планировка: новая
Готовое",3_room_ap,Sverdlovsky,77.9,2,19,new,finished,80813.95348837209
1901,1-комн.,"Советский р-н, Батурина, 40",39.70 м 2,4 800 000 руб.,120 907 руб./м2,7 эт. из 25,"Советский р-н, Батурина, 40
Планировка: новая
Готовое",1_room_ap,Sovietskiy,39.7,7,25,new,finished,55813.95348837209
1902,Комнат.,"Свердловский р-н, 60 лет Октября, 151",12.20 м 2,650 000 руб.,53 279 руб./м2,3 эт. из 5,"Свердловский р-н, 60 лет Октября, 151
Планировка: комната в общежитии
Готовое",room,Sverdlovsky,12.2,3,5,dorm_room,finished,7558.139534883721
1904,4-комн.,"Октябрьский р-н, Елены Стасовой, 1",93.17 м 2,10 150 000 руб.,108 941 руб./м2,5 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",4_room_ap,Oktyabrskiy,93.17,5,8,new,under_construction,118023.25581395348
1905,4-комн.,"Октябрьский р-н, Елены Стасовой, 1",86.81 м 2,9 800 000 руб.,112 890 руб./м2,6 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",4_room_ap,Oktyabrskiy,86.81,6,8,new,under_construction,113953.48837209302
1906,3-комн.,"Октябрьский р-н, Елены Стасовой, 1",65.48 м 2,7 400 000 руб.,113 012 руб./м2,4 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",3_room_ap,Oktyabrskiy,65.48,4,8,new,under_construction,86046.51162790698
1907,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",63.06 м 2,7 050 000 руб.,111 798 руб./м2,5 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,63.06,5,8,new,under_construction,81976.74418604652
1908,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",66.22 м 2,7 000 000 руб.,105 708 руб./м2,4 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,66.22,4,8,new,under_construction,81395.3488372093
1909,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",60.65 м 2,6 900 000 руб.,113 768 руб./м2,5 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,60.65,5,8,new,under_construction,80232.55813953489
1910,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",57.95 м 2,6 600 000 руб.,113 891 руб./м2,7 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,57.95,7,8,new,under_construction,76744.18604651163
1911,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",52.27 м 2,5 750 000 руб.,110 006 руб./м2,6 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,52.27,6,8,new,under_construction,66860.46511627907
1912,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",44.09 м 2,5 500 000 руб.,124 745 руб./м2,7 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,44.09,7,8,new,under_construction,63953.48837209302
1913,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",44.09 м 2,5 100 000 руб.,115 672 руб./м2,5 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,44.09,5,8,new,under_construction,59302.32558139535
1914,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",44.11 м 2,5 100 000 руб.,115 620 руб./м2,5 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,44.11,5,8,new,under_construction,59302.32558139535
1915,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",44.01 м 2,5 100 000 руб.,115 883 руб./м2,6 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,44.01,6,8,new,under_construction,59302.32558139535
1916,2-комн.,"Октябрьский р-н, Елены Стасовой, 1",43.99 м 2,5 100 000 руб.,115 935 руб./м2,7 эт. из 8,"Октябрьский р-н, Елены Стасовой, 1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,43.99,7,8,new,under_construction,59302.32558139535
1917,1-комн.,"Октябрьский р-н, Свободный, 1",27.10 м 2,3 524 300 руб.,130 048 руб./м2,23 эт. из 25,"Октябрьский р-н, Свободный, 1
Планировка: студия
Строится",1_room_ap,Oktyabrskiy,27.1,23,25,studio,under_construction,40980.232558139534
1918,2-комн.,"Центральный р-н, Абытаевская, 36",56.60 м 2,5 640 000 руб.,99 647 руб./м2,2 эт. из 3,"Центральный р-н, Абытаевская, 36
Планировка: индивидуальная
Готовое",2_room_ap,Central,56.6,2,3,individual,finished,65581.3953488372
1919,1-комн.,"Свердловский р-н, Парусная, 3",36.90 м 2,5 600 000 руб.,151 762 руб./м2,6 эт. из 20,"Свердловский р-н, Парусная, 3
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,36.9,6,20,new,finished,65116.27906976744
1920,2-комн.,"Октябрьский р-н, Калинина, 1к2",61.30 м 2,4 990 000 руб.,81 403 руб./м2,10 эт. из 13,"Октябрьский р-н, Калинина, 1к2
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,61.3,10,13,new,under_construction,58023.25581395349
1921,2-комн.,"Октябрьский р-н, Калинина, 1к1",58.10 м 2,5 700 000 руб.,98 107 руб./м2,11 эт. из 13,"Октябрьский р-н, Калинина, 1к1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,58.1,11,13,new,under_construction,66279.06976744186
1922,2-комн.,"Октябрьский р-н, Калинина, 1к1",55.60 м 2,5 700 000 руб.,102 518 руб./м2,8 эт. из 13,"Октябрьский р-н, Калинина, 1к1
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,55.6,8,13,new,under_construction,66279.06976744186
1924,1-комн.,"Октябрьский р-н, Калинина, 1к1",46.10 м 2,4 250 000 руб.,92 191 руб./м2,10 эт. из 13,"Октябрьский р-н, Калинина, 1к1
Планировка: новая
Строится",1_room_ap,Oktyabrskiy,46.1,10,13,new,under_construction,49418.604651162794
1925,1-комн.,"Октябрьский р-н, Калинина, 1к1",40.40 м 2,4 000 000 руб.,99 010 руб./м2,2 эт. из 13,"Октябрьский р-н, Калинина, 1к1
Планировка: новая
Строится",1_room_ap,Oktyabrskiy,40.4,2,13,new,under_construction,46511.62790697674
1926,3-комн.,"Октябрьский р-н, Калинина, 1к2",79.00 м 2,6 900 000 руб.,87 342 руб./м2,7 эт. из 13,"Октябрьский р-н, Калинина, 1к2
Планировка: новая
Строится",3_room_ap,Oktyabrskiy,79.0,7,13,new,under_construction,80232.55813953489
1927,2-комн.,"Октябрьский р-н, Калинина, 1к2",62.70 м 2,5 700 000 руб.,90 909 руб./м2,9 эт. из 13,"Октябрьский р-н, Калинина, 1к2
Планировка: новая
Строится",2_room_ap,Oktyabrskiy,62.7,9,13,new,under_construction,66279.06976744186
